id,xcenter,ycenter,xworld,yworld,semimajor,semiminor,a_hl,b_hl,a_hl_90,b_hl_90,angle,lmass,F160W_inner,F160W_outer,F160W_90,F625W_inner,F625W_outer,F625W_90,F475W_inner,F475W_outer,F475W_90
3.0,709.3327,2009.1293,36.138191,-3.38088,29.6615,26.0468,8.6572,7.6022,23.1261,20.3079,80.7617,10.95,52.52,103.9526,93.8917,4.904701589047327,12.19114323432299,9.662649410520935,2.7338915967934736,5.982007727042928,5.039078979576679
5.0,990.4217,414.7255,36.133108,-3.409668,24.7057,9.0646,8.5283,3.1291,17.0272,6.2473,45.9548,10.02,5.973,11.9827,10.7604,1.5399006891949103,1.6978368788210536,2.035339262384805,1.43730229947716,2.3421360597362946,2.0498353965712885
15.0,825.896,1287.9891,36.136083,-3.393901,25.5307,12.0344,8.9397,4.2139,17.7731,8.3777,85.4785,9.93,9.5721,19.177,17.2297,1.7751670360472054,4.990258161680336,3.964220099071972,1.5155858362081926,4.300154340493791,3.5141596358303286
16.0,785.1515,1331.6569,36.13682,-3.393112,14.3729,10.4686,4.8082,3.5021,10.3314,7.5249,20.4534,9.62,4.5804,9.1546,8.2387,1.3845799411437474,2.500436391986168,2.3427144999447047,1.1841869807592598,2.3368623219729128,2.188551833849124
19.0,690.1509,1860.2728,36.138538,-3.383568,16.8056,10.1875,4.747,2.8776,12.3658,7.4961,-77.148,10.57,8.3213,16.5887,14.9598,0.8669618962123059,2.5290094451127514,2.0416548566680284,0.5901885691774078,1.2016483323417195,0.9526257373027328
27.0,2617.6036,1245.359,36.103676,-3.39467,16.7234,9.7728,5.7855,3.3809,11.5728,6.7629,-29.9911,10.49,5.2145,10.4438,9.3707,0.11594885387778049,-0.09820159231749129,0.24251437043232726,0.12032548127608607,0.32708944571617393,0.2593200657169836
28.0,2447.848,2200.7439,36.106747,-3.377421,8.8294,7.7149,3.071,2.6834,6.4664,5.6501,-56.9552,9.88,1.4928,2.992,2.6827,0.07023326965951128,0.07072499929170589,0.10869938586081843,-0.00016907334211282727,-0.27479384256541384,-0.09304945813448284
50.0,2495.3539,1379.4507,36.105887,-3.392249,11.8878,11.538,4.0881,3.9678,8.1038,7.8653,19.521,9.36,4.0606,8.1382,7.319,1.131719501009211,2.104910770035458,2.045603255794849,1.144157045017928,2.2754652175899537,2.1238506100581436
63.0,2483.7651,1162.8672,36.106097,-3.39616,10.0503,7.5181,3.7157,2.7795,6.9855,5.2255,6.2369,10.03,2.6098,5.2672,4.7055,0.17472064157016573,-0.12823414048703852,0.09840019409777595,0.12093972664702961,0.09264716567966391,0.15546276624341773
67.0,2310.8191,2073.5004,36.109225,-3.379718,10.3803,9.9219,3.4266,3.2753,7.465,7.1354,-1.9251,10.07,4.1822,8.3633,7.52,0.1885518493689597,0.15214057761430017,0.22637301007285718,0.18850195651641116,0.27719386072945784,0.35244651432869434
